2026-06-15 05:34:05,527 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=351 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:34:15,510 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=317 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:34:33,448 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=402 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:34:53,695 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='security' meta_filters='(none)' results=9 latency_ms=255 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:34:58,142 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=344 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:35:11,787 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=314 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:35:41,245 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=298 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:35:56,263 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=298 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:36:17,315 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=227 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:36:23,270 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=284 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:36:30,151 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=322 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:36:39,711 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=299 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:36:54,184 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=309 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:55:45,911 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=280 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 06:39:50,151 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=292 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 06:41:40,153 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=422 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 07:20:23,936 | INFO     | company-ai.ai | pid=30336 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=1051 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 11:34:11,943 | INFO     | company-ai.ai | pid=30336 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=468 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 05:56:11,087 | INFO     | company-ai.ai | pid=32095 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=962 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:07:13,448 | INFO     | company-ai.ai | pid=32095 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=398 search_type='SEMANTIC' store='s3' rerank='passthrough'
